42		499000	13.4
39.5	324000	12.2
37.5	216000	11
35.8	147000	10
30		32500	6.7
25.4	9950	5.2
20.9	2920	4.1
18.8	1580	3.8
15.2	480		3.2
13.7	272		2.9
12.5	160		2.7
11.4	96.7	2.5
10.5	60.7	2.3
9.8		39.4	2.2
9.4		30.3	2.1
0.02	23.6	2
8.19	12.3	1.8
7.6		7.14	1.5
7.3		5.21	1.4
7.05	3.89	1.3
6.65	2.56	1.2
6.25	1.68	1.1
5.94	1.25	1.06
5.79	1.07	1.03
5.777	1		1
5.31	0.656	0.96
5.15	0.552	0.93
4.99	0.461	0.91
4.69	0.318	0.86
4.54	0.263	0.83
4.41	0.216	0.8
4.15	0.145	0.74
3.84	0.077	0.63
3.66	0.05	0.56
3.52	0.032	0.48
3.4		0.02	0.41
3.29	0.013	0.35
3.17	0.0076	0.29
3.03	0.0044	0.24
2.86	0.0025	0.2
		
39.4	741000	18.5
29.2	84700	11.4
10.2	169		4.1
7.4		27		3.2
5.47	29		6
4.66	50		10.9
3.69	256		39.3
		
40.9	1140000	21.2
26.2	429000	31.7
9.98	37500	64.9
7.46	28800	102
5.37	30300	202
4.55	33100	293
3.62	51900	579

